City,Temperature,Country,Cloudiness,Humidity,Latitude,Longitude,Wind Speed,Date
Ushuaia,2.0,AR,20,80,-54.8,-68.3,9.8,1593223349
Bethel,21.11,US,1,64,41.37,-73.41,1.5,1593223349
George Town,29.0,MY,20,88,5.41,100.34,1.5,1593223349
Hermanus,12.22,ZA,43,87,-34.42,19.23,7.15,1593223349
Albany,22.22,US,0,84,42.6,-73.97,1.75,1593223151
Barranca,15.57,PE,36,91,-10.75,-77.77,2.98,1593223274
Barrow,4.0,US,90,93,71.29,-156.79,3.6,1593223349
Chui,7.51,UY,100,70,-33.7,-53.46,3.12,1593223125
Mataura,9.58,NZ,56,64,-46.19,168.86,1.11,1593223349
Rundu,9.0,NA,0,57,-17.93,19.77,1.5,1593223350
Jamestown,19.0,US,1,63,42.1,-79.24,2.1,1593223350
Saint George,37.0,US,1,11,37.1,-113.58,5.7,1593223084
Cherskiy,5.51,RU,0,61,68.75,161.3,7.6,1593223350
New Norfolk,8.89,AU,100,85,-42.78,147.06,0.45,1593223350
Labuhan,27.0,ID,51,72,-6.88,112.21,2.72,1593223350
Dembī Dolo,12.79,ET,35,98,8.53,34.8,1.62,1593223350
Yellowknife,20.56,CA,40,45,62.46,-114.35,1.0,1593223350
Zhigansk,25.23,RU,39,34,66.77,123.37,2.77,1593223121
Catherinas Lust,25.35,GY,85,90,6.4,-57.6,3.37,1593223350
Constitución,10.23,CL,92,82,-35.33,-72.42,5.39,1593223351
Bengkulu,27.95,ID,87,69,-3.8,102.27,1.17,1593223351
Castro,12.03,BR,100,95,-24.79,-50.01,5.78,1593223351
Bluff,8.63,NZ,94,63,-46.6,168.33,1.39,1593223351
Busselton,16.67,AU,59,88,-33.65,115.33,6.8,1593223351
Hofn,9.96,IS,100,85,64.25,-15.21,3.37,1593223082
Kiryat Gat,21.11,IL,0,48,31.61,34.76,1.34,1593223351
Esperance,15.0,AU,0,62,-33.87,121.9,5.1,1593223351
Chapais,15.0,CA,1,82,49.78,-74.85,2.1,1593223351
Hilo,28.0,US,75,65,19.73,-155.09,4.6,1593223251
East London,14.73,ZA,0,67,-33.02,27.91,2.17,1593223352
Karratha,24.41,AU,0,19,-20.74,116.85,6.29,1593223352
Dingle,30.58,PH,100,66,11.0,122.67,0.29,1593223352
Kholtoson,21.49,RU,100,52,50.3,103.31,1.12,1593223352
Iqaluit,9.0,CA,40,70,63.75,-68.51,1.89,1593223352
Nikolskoye,18.89,RU,0,72,59.7,30.79,2.0,1593223352
Mahébourg,22.0,MU,75,94,-20.41,57.7,4.1,1593223352
Champerico,27.72,GT,8,78,14.3,-91.92,3.06,1593223352
Čajetina,16.0,RS,0,100,43.75,19.71,0.5,1593223352
Thompson,18.0,CA,75,88,55.74,-97.86,1.0,1593223352
Rikitea,23.25,PF,100,80,-23.12,-134.97,6.46,1593223353
North Bend,25.56,US,75,87,43.41,-124.22,10.3,1593223237
Hambantota,25.0,LK,20,100,6.12,81.12,3.1,1593223353
Fort Nelson,19.0,CA,75,45,58.81,-122.7,1.0,1593223211
Māngrol,29.73,IN,51,75,21.12,70.12,4.71,1593223353
Punta Arenas,-2.0,CL,0,92,-53.15,-70.92,4.1,1593223286
Dikson,1.84,RU,97,90,73.51,80.55,11.88,1593223353
Cervo,18.89,ES,85,80,43.67,-7.41,2.68,1593223096
Hasaki,28.89,JP,75,88,35.73,140.83,1.0,1593223074
Nanortalik,4.52,GL,98,91,60.14,-45.24,1.46,1593223353
Kasama,15.45,ZM,98,77,-10.21,31.18,1.48,1593223353
Kudahuvadhoo,28.6,MV,100,73,2.67,72.89,3.56,1593223354
Comodoro Rivadavia,-1.0,AR,0,80,-45.87,-67.5,4.1,1593223354
Lethem,24.96,GY,74,83,3.38,-59.8,3.21,1593223109
Novyy Urgal,24.19,RU,100,51,51.07,132.56,0.64,1593223354
San Cristobal,18.62,VE,2,86,7.77,-72.22,1.36,1593223354
Port Alfred,11.11,ZA,0,74,-33.59,26.89,3.13,1593223354
Sorrento,23.33,IT,0,64,40.63,14.37,2.1,1593223354
Opuwo,9.87,NA,0,47,-18.06,13.84,2.6,1593223281
Hobart,10.0,AU,75,66,-42.88,147.33,4.6,1593223177
Yamethin,25.73,MM,100,82,20.43,96.15,4.21,1593223354
Vao,21.33,NC,24,63,-22.67,167.48,4.23,1593223354
Benjamín Hill,35.56,MX,12,34,30.17,-111.1,3.13,1593223354
Vestmannaeyjar,9.95,IS,98,84,63.44,-20.27,4.05,1593223354
Datong,26.24,CN,0,28,40.09,113.29,0.93,1593223355
Ulaangom,19.58,MN,0,47,49.98,92.07,1.93,1593223355
Wanning,30.48,CN,93,73,18.8,110.4,5.89,1593223355
São Filipe,23.25,CV,82,78,14.9,-24.5,1.5,1593223355
Saint-Philippe,20.0,RE,34,68,-21.36,55.77,2.6,1593223355
Sítio Novo do Tocantins,24.01,BR,29,70,-5.52,-47.46,0.96,1593223243
Tiksi,18.28,RU,70,46,71.69,128.87,3.73,1593223355
Kashira,17.0,RU,0,72,54.84,38.17,2.0,1593223356
Beyla,19.89,GN,52,97,8.68,-8.63,1.52,1593223356
Truro,15.0,GB,90,93,50.27,-5.05,6.2,1593223208
Wuchang,20.05,CN,100,81,44.91,127.15,1.56,1593223356
Fairbanks,18.33,US,90,45,64.84,-147.72,4.6,1593223356
Bredasdorp,12.0,ZA,5,66,-34.53,20.04,3.6,1593223356
Tasiilaq,5.0,GL,100,86,65.61,-37.64,1.0,1593223356
Salta,8.0,AR,75,75,-24.79,-65.41,2.1,1593223153
Usinsk,6.65,RU,81,76,65.99,57.53,2.67,1593223357
Hamada,25.0,JP,75,78,34.88,132.08,3.6,1593223357
Banepā,23.0,NP,75,94,27.63,85.52,2.1,1593223357
Skjervøy,7.96,NO,100,88,70.03,20.97,5.86,1593223357
Lingao,32.39,CN,99,59,19.91,109.69,2.89,1593223357
Avarua,24.0,CK,4,64,-21.21,-159.78,3.1,1593223327
Sompeta,29.21,IN,100,75,18.93,84.6,4.58,1593223357
Road Town,28.89,VG,86,83,18.42,-64.62,8.94,1593223337
Beringovskiy,8.03,RU,83,53,63.05,179.32,9.09,1593223357
Invermere,20.0,CA,83,63,50.52,-116.04,2.24,1593223358
Airai,20.77,TL,59,62,-8.93,125.41,1.92,1593223358
Santa Cruz de la Sierra,13.0,BO,90,93,-17.8,-63.17,4.1,1593223292
Ürümqi,30.0,CN,9,25,43.8,87.6,5.0,1593223282
Upernavik,2.83,GL,97,89,72.79,-56.15,1.2,1593223358
Karlshamn,17.0,SE,58,88,56.17,14.86,2.6,1593223358
Carnarvon,20.0,AU,29,68,-24.87,113.63,3.1,1593223078
Vaini,26.0,TO,40,78,-21.2,-175.2,4.1,1593223358
Geraldton,18.0,AU,75,82,-28.77,114.6,4.6,1593223149
Tolú Viejo,25.78,CO,100,91,9.45,-75.44,2.19,1593223359
Bubaque,27.4,GW,59,80,11.28,-15.83,3.88,1593223359
Ust'-Kulom,11.06,RU,100,84,61.69,53.69,1.96,1593223359
Tommot,25.74,RU,46,43,58.96,126.29,0.75,1593223359
Hithadhoo,29.09,MV,99,71,-0.6,73.08,2.32,1593223359
Aklavik,15.0,CA,75,28,68.22,-135.01,4.6,1593223359
Santa Maria,7.56,BR,88,79,-29.68,-53.81,2.47,1593223359
Lebu,10.04,CL,31,92,-37.62,-73.65,5.62,1593223360
Jiayuguan City,20.41,CN,43,37,39.82,98.3,9.23,1593223360
Tayu,27.52,ID,100,67,-6.54,111.05,2.94,1593223360
Bishoftu,15.87,ET,6,84,8.75,38.98,0.5,1593223360
Laguna,32.78,US,0,45,38.42,-121.42,2.24,1593223360
Bambous Virieux,22.22,MU,75,94,-20.34,57.76,4.1,1593223360
Tuktoyaktuk,3.0,CA,90,93,69.45,-133.04,6.7,1593223360
Ahipara,16.32,NZ,14,88,-35.17,173.17,6.0,1593223360
Saskylakh,28.16,RU,11,27,71.92,114.08,6.81,1593223360
Kapaa,29.0,US,1,66,22.08,-159.32,5.7,1593223360
Qaanaaq,2.9,GL,10,79,77.48,-69.36,1.17,1593223361
Den Helder,19.44,NL,90,88,52.96,4.76,3.1,1593223361
Butaritari,28.5,KI,95,74,3.07,172.79,4.35,1593223361
La Ronge,22.0,CA,75,43,55.1,-105.28,5.7,1593223139
Mount Gambier,10.0,AU,90,81,-37.83,140.77,5.1,1593223361
El Salvador,28.0,SV,20,78,13.83,-88.92,2.6,1593223326
Vostok,12.84,RU,100,95,46.49,135.88,1.61,1593223361
Chirongui,24.0,YT,75,88,-12.93,45.15,4.6,1593223361
Puerto Ayora,21.11,EC,76,92,-0.74,-90.35,0.89,1593223361
Monze,12.8,ZM,31,81,-16.28,27.48,2.22,1593223361
Mandāwar,31.65,IN,5,53,29.5,78.13,2.59,1593223361
Turochak,21.58,RU,0,58,52.26,87.12,1.62,1593223362
Henties Bay,10.0,NA,0,89,-22.12,14.28,3.16,1593223083
Sitka,11.0,US,90,100,57.05,-135.33,3.1,1593223362
Arraial do Cabo,21.99,BR,73,88,-22.97,-42.03,0.85,1593223362
Antofagasta,14.0,CL,90,82,-23.65,-70.4,4.1,1593223362
Ajdabiya,21.67,LY,0,64,30.76,20.23,3.65,1593223362
Moree,15.0,AU,0,58,-29.47,149.85,3.6,1593223362
Maniitsoq,4.47,GL,8,89,65.42,-52.9,2.79,1593223362
Troitsko-Pechorsk,9.36,RU,100,78,62.71,56.2,0.48,1593223362
Tamiahua,26.56,MX,100,88,21.27,-97.45,4.63,1593223362
Codrington,11.56,AU,81,64,-38.27,141.97,3.78,1593223362
Evensk,11.19,RU,100,77,61.95,159.23,3.89,1593223138
Chicama,17.86,PE,16,81,-7.84,-79.15,3.27,1593223362
Baní,27.22,DO,100,85,18.28,-70.33,2.68,1593223363
Mombasa,23.61,KE,26,86,-4.05,39.66,5.3,1593223363
Vila Velha,21.67,BR,88,88,-20.33,-40.29,1.5,1593223363
Magdagachi,22.59,RU,78,49,53.45,125.8,1.42,1593223363
Lander,27.22,US,1,22,42.83,-108.73,3.38,1593223363
Kyzyl-Suu,16.68,KG,50,50,42.34,78.0,0.55,1593223363
Soyo,22.1,AO,20,84,-6.13,12.37,2.0,1593223274
Launceston,8.89,AU,81,81,-41.45,147.17,2.1,1593223363
Isla Vista,18.33,US,40,77,34.41,-119.86,6.2,1593223198
Saint Paul Harbor,16.0,US,40,41,57.79,-152.41,7.7,1593223363
Paamiut,3.49,GL,55,93,61.99,-49.67,3.9,1593223363
Cidreira,10.36,BR,100,61,-30.18,-50.21,2.19,1593223364
Tautira,27.0,PF,20,69,-17.73,-149.15,8.7,1593223285
Gaoual,24.38,GN,14,92,11.75,-13.2,1.41,1593223364
São João da Barra,20.55,BR,18,88,-21.64,-41.05,2.42,1593223364
San Ramon,28.0,US,1,39,37.78,-121.98,6.2,1593223155
Faya,23.0,SA,41,28,18.39,42.45,2.6,1593223364
Olafsvik,9.59,IS,100,84,64.89,-23.71,4.54,1593223364
Ponta do Sol,21.0,PT,40,68,32.67,-17.1,5.7,1593223071
Chokurdakh,16.48,RU,0,33,70.63,147.92,3.95,1593223364
General Roca,1.0,AR,90,93,-39.03,-67.58,2.6,1593223365
Cape Town,15.56,ZA,75,81,-33.93,18.42,8.7,1593223355
Narsaq,10.0,GL,72,71,60.92,-46.05,2.6,1593223119
Zaranj,28.02,AF,0,31,30.97,61.88,11.82,1593223365
Kavaratti,27.99,IN,100,78,10.57,72.64,8.59,1593223365
Orapa,9.19,BW,0,67,-21.28,25.37,0.24,1593223365
San Patricio,26.0,MX,90,88,19.22,-104.7,6.2,1593223156
Caravelas,21.91,BR,1,94,-17.71,-39.25,2.72,1593223081
Byron Bay,15.56,AU,75,93,-28.65,153.62,4.6,1593223164
Mar del Plata,6.11,AR,75,93,-38.0,-57.56,2.6,1593223081
São Félix do Xingu,21.7,BR,0,78,-6.64,-51.99,0.98,1593223365
Carlsbad,22.22,US,1,72,33.16,-117.35,2.1,1593223296
Hong Kong,33.0,HK,20,55,22.29,114.16,4.6,1593223322
Luziânia,17.0,BR,97,72,-16.25,-47.95,1.0,1593223366
Mogadishu,25.22,SO,19,85,2.04,45.34,7.3,1593223175
Mossamedes,17.46,AO,0,78,-15.2,12.15,0.37,1593223085
Al Bardīyah,21.66,LY,0,88,31.76,25.09,5.35,1593223366
Korla,24.44,CN,71,73,41.76,86.15,4.47,1593223117
Ambulu,26.4,ID,14,73,-8.35,113.61,0.97,1593223084
Bilma,28.81,NE,100,15,18.69,12.92,3.27,1593223366
Provideniya,4.75,RU,100,77,64.38,-173.3,13.17,1593223088
Guerrero Negro,19.63,MX,0,78,27.98,-114.06,7.44,1593223366
Faanui,25.5,PF,20,78,-16.48,-151.75,6.63,1593223366
Pacific Grove,16.0,US,90,82,36.62,-121.92,4.1,1593223367
Preobrazheniye,14.64,RU,100,93,42.9,133.91,0.81,1593223367
Khāsh,23.23,IR,0,19,28.22,61.22,1.48,1593223367
Ibrā’,25.28,OM,2,83,22.69,58.53,0.95,1593223367
Puerto Escondido,28.15,MX,100,77,15.85,-97.07,4.27,1593223367
Salihorsk,15.37,BY,0,93,52.79,27.54,2.28,1593223367
Aktau,15.0,KZ,0,58,43.65,51.2,2.0,1593223367
Wajir,23.32,KE,2,73,1.75,40.06,5.89,1593223367
Leningradskiy,-0.09,RU,100,96,69.38,178.42,9.11,1593223367
Mergen,22.03,CN,100,71,49.18,125.22,0.3,1593223368
Lorengau,29.71,PG,100,70,-2.02,147.27,4.87,1593223368
Krasnogorskoye,20.54,RU,0,76,52.3,86.2,2.39,1593223368
Egvekinot,0.36,RU,100,94,66.32,-179.17,4.9,1593223368
Leshan,25.35,CN,77,73,29.56,103.76,1.15,1593223368
Dvinskoy Bereznik,11.48,RU,100,91,62.86,42.71,2.17,1593223368
Kavieng,28.4,PG,100,75,-2.57,150.8,5.18,1593223368
Raudeberg,19.44,NO,0,69,61.99,5.14,5.41,1593223369
Woodward,33.0,US,1,40,36.43,-99.39,4.6,1593223369
Shirokiy,21.25,RU,70,74,49.76,129.52,2.41,1593223369
Blackfoot,29.0,US,20,25,43.19,-112.34,5.7,1593223369
Sukhothai,30.56,TH,75,94,17.25,99.67,1.0,1593223369
Cabo San Lucas,32.0,MX,20,62,22.89,-109.91,4.6,1593223342
Jackson,34.0,US,1,24,42.42,-122.83,6.2,1593223084
Vardø,7.53,NO,100,89,70.37,31.11,11.08,1593223369
Chipinge,14.18,ZW,68,68,-20.19,32.62,0.44,1593223157
Heihe,22.0,CN,40,68,50.24,127.49,3.0,1593223369
Mount Isa,23.0,AU,0,23,-20.73,139.5,3.6,1593223369
Deputatsky,22.04,RU,38,44,69.3,139.9,3.17,1593223370
Tabas,29.0,IR,0,20,33.6,56.92,2.1,1593223143
Ban Nahin,32.78,LA,86,60,18.24,104.21,0.76,1593223370
Nizhnevartovsk,11.0,RU,100,81,60.93,76.55,3.0,1593223370
Uyskoye,8.28,RU,0,75,54.38,60.0,4.84,1593223370
Yulara,12.0,AU,0,34,-25.24,130.99,4.6,1593223370
Portland,28.33,US,75,48,45.52,-122.68,4.6,1593223318
Tura,23.58,IN,100,98,25.52,90.22,4.14,1593223370
Bol,26.95,TD,94,75,13.46,14.71,6.53,1593223370
Camacupa,9.15,AO,1,49,-12.02,17.48,2.08,1593223371
Samaná,26.81,DO,99,88,19.21,-69.34,4.6,1593223371
Porosozero,13.93,RU,73,80,62.72,32.73,2.56,1593223371
Kruisfontein,8.65,ZA,0,72,-34.0,24.73,3.59,1593223371
Port Elizabeth,11.0,ZA,0,66,-33.92,25.57,2.1,1593223206
Pangnirtung,9.47,CA,30,68,66.15,-65.71,1.23,1593223371
Adwa,18.47,ET,93,62,14.16,38.9,1.31,1593223371
Les Cayes,26.67,HT,100,78,18.2,-73.75,0.91,1593223343
Sharjah city,35.0,AE,100,67,25.36,55.4,2.6,1593223168
Mednogorsk,7.87,RU,0,85,51.41,57.59,3.11,1593223372
Camabatela,12.74,AO,35,70,-8.19,15.38,0.68,1593223372
Numāligarh,25.28,IN,100,93,26.63,93.75,2.11,1593223372
Katsuura,27.78,JP,70,76,35.13,140.3,1.08,1593223372
Agüimes,22.0,ES,75,64,27.91,-15.45,10.8,1593223126
Munirābād,26.06,IN,93,76,15.33,76.33,5.15,1593223372
Nago,29.0,JP,75,70,26.59,127.98,3.1,1593223372
Amazar,25.6,RU,8,42,53.86,120.88,0.8,1593223372
Hvolsvollur,8.89,IS,100,95,63.75,-20.22,3.58,1593223372
Kwinana,16.67,AU,40,100,-32.25,115.77,2.6,1593223372
Ostrovnoy,7.46,RU,100,90,68.05,39.51,7.2,1593223372
Natuba,18.99,BR,43,97,-7.64,-35.55,2.78,1593223373
Fare,25.78,PF,7,77,-16.7,-151.02,6.52,1593223373
Coahuayana Viejo,24.47,MX,100,86,18.73,-103.68,0.59,1593223373
Atuona,26.72,PF,4,74,-9.8,-139.03,4.83,1593223373
Shimoda,26.0,JP,75,83,34.67,138.95,3.1,1593223373
Chabahar,29.9,IR,100,76,25.29,60.64,2.43,1593223373
Kaitangata,10.56,NZ,32,61,-46.28,169.85,0.89,1593223373
Ribeira Grande,19.11,PT,99,93,38.52,-28.7,3.22,1593223373
Khatanga,17.43,RU,49,55,71.97,102.5,3.71,1593223373
Russell,28.0,US,75,78,32.35,-85.2,1.46,1593223121
Severodvinsk,11.0,RU,40,93,64.56,39.83,2.0,1593223373
Souillac,22.0,MU,75,94,-20.52,57.52,4.1,1593223373
Aripuanã,24.89,BR,100,65,-9.17,-60.63,0.69,1593223374
Galesong,29.0,ID,20,70,-5.32,119.37,1.5,1593223328
Havre-St-Pierre,16.0,CA,1,77,50.23,-63.6,1.0,1593223096
Norman Wells,21.0,CA,75,37,65.28,-126.83,6.2,1593223374
Evanston,22.78,US,100,95,42.04,-87.69,2.68,1593223154
Intipucá,26.41,SV,0,73,13.2,-88.05,0.36,1593223374
Lüderitz,12.0,NA,0,71,-26.65,15.16,5.1,1593223374
Svetlaya,11.87,RU,100,94,46.54,138.33,5.26,1593223374
Imbituba,14.0,BR,100,58,-28.24,-48.67,6.2,1593223076
Kariya,23.33,JP,100,96,34.75,134.4,1.34,1593223374
Tonantins,23.25,BR,93,96,-2.87,-67.8,0.79,1593223374
Namatanai,28.2,PG,84,74,-3.67,152.43,3.17,1593223375
Grand Forks,27.0,US,40,36,47.93,-97.03,2.6,1593223375
Burnie,10.36,AU,40,67,-41.07,145.92,1.14,1593223338
Tuatapere,11.96,NZ,87,63,-46.13,167.68,1.07,1593223375
Lata,19.44,PT,95,89,40.16,-8.33,0.25,1593223375
Bairiki Village,30.0,KI,40,70,1.33,172.98,5.7,1593223375
Aksu,24.98,CN,100,32,41.12,80.26,1.7,1593223375
Margate,16.67,GB,26,90,51.38,1.39,0.89,1593223375
